City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Abu Dhabi,AE,71.71,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
2,Sayyan,YE,58.42,scattered clouds,15.1718,44.3244,ملاطف ابوحورية
3,Cabo San Lucas,MX,68.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
7,Punta Arenas,CL,62.71,broken clouds,-53.15,-70.9167,Hotel Hain
8,Port Alfred,ZA,70.27,overcast clouds,-33.5906,26.891,The Halyards Hotel
9,Ushuaia,AR,64.02,scattered clouds,-54.8,-68.3,Albatross Hotel
11,Port Lincoln,AU,65.8,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
12,Isla Mujeres,MX,80.65,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
13,Mataura,NZ,40.12,few clouds,-46.1927,168.8643,Ellie's Villa
14,Tuatapere,NZ,43.14,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
15,Klaksvik,FO,36.52,overcast clouds,62.2266,-6.589,Airbnb rooms
16,Castro,BR,74.03,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
17,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
18,Wenling,CN,41.92,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
20,Teguise,ES,66.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
23,Mahon,ES,54.16,scattered clouds,39.8885,4.2658,ARTIEM Capri
25,Lebu,CL,64.42,clear sky,-37.6167,-73.65,Hostal Las Lilas
27,Rikitea,PF,78.62,broken clouds,-23.1203,-134.9692,People ThankYou
28,Florina,GR,42.75,broken clouds,40.782,21.4098,Hotel Hellinis
29,Bengkulu,ID,74.48,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
30,Las Cruces,US,38.12,clear sky,32.3123,-106.7783,Days End Lodge
31,Xaxim,BR,70.18,moderate rain,-26.9617,-52.5347,Hotel São Luiz
32,Asfi,MA,64.33,overcast clouds,32.2994,-9.2372,Hôtel Abda
33,Northam,GB,51.42,overcast clouds,51.0333,-4.2167,Durrant House Hotel
34,Hithadhoo,MV,82.6,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
38,Palasa,IN,66.47,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
40,Huejucar,MX,62.26,scattered clouds,22.35,-103.2167,Hotel Villarreal
43,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Port Elizabeth,ZA,70.11,broken clouds,-33.918,25.5701,39 On Nile Guest House
45,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
46,Sinnamary,GF,79.12,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
47,Timizart,DZ,52.14,overcast clouds,36.8,4.2667,yefssah restaurant
48,Faanui,PF,80.78,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
49,Sao Filipe,CV,75.34,clear sky,14.8961,-24.4956,Hotel Xaguate
52,Los Llanos De Aridane,ES,67.12,few clouds,28.6585,-17.9182,Valle Aridane
54,Panaba,MX,76.77,broken clouds,21.2833,-88.2667,Hotel California
55,Ponta Do Sol,PT,73.13,clear sky,32.6667,-17.1,Hotel do Campo
56,Hilo,US,70.61,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
57,Bredasdorp,ZA,73.27,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
59,Atuona,PF,78.69,few clouds,-9.8,-139.0333,Villa Enata
60,Soyo,AO,82.45,light rain,-6.1349,12.3689,Hotel Mpampa
61,Mar Del Plata,AR,67.08,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
65,Mount Gambier,AU,60.71,overcast clouds,-37.8333,140.7667,The Commodore
67,Hermanus,ZA,85.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
68,Margate,GB,49.03,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
70,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
72,Progreso,MX,73.51,broken clouds,21.2833,-89.6667,Playa Linda Hotel
74,Hobart,AU,59.02,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
75,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Cape Town,ZA,86.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
77,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
79,Codrington,AU,57.27,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
80,Jhanjharpur,IN,55.24,broken clouds,26.2667,86.2833,Krishna Sweets
