City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Abu Dhabi,AE,24.4667,54.3667,71.71,72,0,1.99,clear sky
1,Albany,US,42.6001,-73.9662,19.94,67,27,11.01,scattered clouds
2,Sayyan,YE,15.1718,44.3244,58.42,63,28,1.9,scattered clouds
3,Cabo San Lucas,MX,22.8909,-109.9124,68.61,63,0,2.3,clear sky
4,Soke,ML,13.598,-5.9386,85.68,7,0,6.64,clear sky
5,Sisimiut,GL,66.9395,-53.6735,2.01,93,98,12.86,light snow
6,Lieksa,FI,63.3167,30.0167,19.65,93,100,13.47,light snow
7,Punta Arenas,CL,-53.15,-70.9167,62.71,59,75,34.52,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,70.27,83,98,24.61,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,64.02,39,40,12.66,scattered clouds
10,Almazar,UZ,40.3217,69.0106,44.31,21,75,25.05,broken clouds
11,Port Lincoln,AU,-34.7333,135.8667,65.8,80,100,15.99,overcast clouds
12,Isla Mujeres,MX,21.2311,-86.731,80.65,71,40,10.2,scattered clouds
13,Mataura,NZ,-46.1927,168.8643,40.12,98,15,2.1,few clouds
14,Tuatapere,NZ,-46.1333,167.6833,43.14,91,10,3.69,clear sky
15,Klaksvik,FO,62.2266,-6.589,36.52,92,97,43.96,overcast clouds
16,Castro,BR,-24.7911,-50.0119,74.03,84,89,8.08,overcast clouds
17,Kahului,US,20.8947,-156.47,75.85,77,20,0.0,few clouds
18,Wenling,CN,28.3669,121.36,41.92,72,53,11.18,broken clouds
19,Hasaki,JP,35.7333,140.8333,27.0,35,65,8.7,broken clouds
20,Teguise,ES,29.0605,-13.564,66.42,43,0,12.66,clear sky
21,Uarini,BR,-2.99,-65.1083,82.35,73,100,2.66,light rain
22,Watertown,US,42.3709,-71.1828,26.08,69,75,10.0,broken clouds
23,Mahon,ES,39.8885,4.2658,54.16,76,40,3.44,scattered clouds
24,Thompson,CA,55.7435,-97.8558,-25.44,68,75,0.0,broken clouds
25,Lebu,CL,-37.6167,-73.65,64.42,65,0,19.15,clear sky
26,Verkhoyansk,RU,67.5447,133.385,-44.9,100,60,1.52,broken clouds
27,Rikitea,PF,-23.1203,-134.9692,78.62,73,53,12.82,broken clouds
28,Florina,GR,40.782,21.4098,42.75,89,68,3.8,broken clouds
29,Bengkulu,ID,-3.8004,102.2655,74.48,96,100,7.92,heavy intensity rain
30,Las Cruces,US,32.3123,-106.7783,38.12,54,0,1.99,clear sky
31,Xaxim,BR,-26.9617,-52.5347,70.18,98,100,2.93,moderate rain
32,Asfi,MA,32.2994,-9.2372,64.33,67,96,20.69,overcast clouds
33,Northam,GB,51.0333,-4.2167,51.42,87,100,28.23,overcast clouds
34,Hithadhoo,MV,-0.6,73.0833,82.6,73,100,13.91,overcast clouds
35,Goderich,CA,43.7501,-81.7165,19.9,62,98,5.75,overcast clouds
36,Ribeira Grande,PT,38.5167,-28.7,63.0,67,75,10.36,broken clouds
37,Srednekolymsk,RU,67.45,153.6833,-39.82,100,47,4.12,scattered clouds
38,Palasa,IN,18.7667,84.4167,66.47,54,97,3.4,overcast clouds
39,Westport,US,41.1415,-73.3579,29.55,65,20,5.99,few clouds
40,Huejucar,MX,22.35,-103.2167,62.26,42,43,3.96,scattered clouds
41,Broome,US,42.2506,-75.833,18.77,71,40,3.0,scattered clouds
42,Fairbanks,US,64.8378,-147.7164,1.36,78,100,0.0,overcast clouds
43,Saint-Philippe,RE,-21.3585,55.7679,83.79,86,100,22.17,light rain
44,Port Elizabeth,ZA,-33.918,25.5701,70.11,83,75,12.66,broken clouds
45,Saint-Pierre,RE,-21.3393,55.4781,83.88,65,0,8.05,clear sky
46,Sinnamary,GF,5.3833,-52.95,79.12,83,96,9.55,overcast clouds
47,Timizart,DZ,36.8,4.2667,52.14,90,100,8.01,overcast clouds
48,Faanui,PF,-16.4833,-151.75,80.78,70,12,18.57,few clouds
49,Sao Filipe,CV,14.8961,-24.4956,75.34,67,0,9.37,clear sky
50,Kenai,US,60.5544,-151.2583,27.09,95,100,11.5,light snow
51,Deputatskiy,RU,69.3,139.9,-29.85,96,100,3.8,overcast clouds
52,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,79,20,4.0,few clouds
53,Yellowknife,CA,62.456,-114.3525,-12.59,83,75,6.91,broken clouds
54,Panaba,MX,21.2833,-88.2667,76.77,75,58,15.64,broken clouds
55,Ponta Do Sol,PT,32.6667,-17.1,73.13,49,2,12.57,clear sky
56,Hilo,US,19.7297,-155.09,70.61,87,100,4.61,overcast clouds
57,Bredasdorp,ZA,-34.5322,20.0403,73.27,68,42,24.16,scattered clouds
58,Buzmeyin,TM,38.0507,58.2056,46.13,71,75,9.22,broken clouds
59,Atuona,PF,-9.8,-139.0333,78.69,74,13,21.97,few clouds
60,Soyo,AO,-6.1349,12.3689,82.45,80,55,10.45,light rain
61,Mar Del Plata,AR,-38.0023,-57.5575,67.08,89,100,5.01,moderate rain
62,Atasu,KZ,48.6814,71.6433,16.65,66,5,19.57,clear sky
63,Halifax,CA,44.6453,-63.5724,27.48,90,100,5.01,overcast clouds
64,Oussouye,SN,12.485,-16.5469,102.38,25,0,11.92,clear sky
65,Mount Gambier,AU,-37.8333,140.7667,60.71,77,100,6.91,overcast clouds
66,Dunda,TZ,-8.1167,34.25,64.45,90,99,2.35,overcast clouds
67,Hermanus,ZA,-34.4187,19.2345,85.89,64,62,20.15,broken clouds
68,Margate,GB,51.3813,1.3862,49.03,74,91,10.0,overcast clouds
69,Jamestown,US,42.097,-79.2353,19.53,48,75,5.99,broken clouds
70,Busselton,AU,-33.65,115.3333,67.05,70,0,2.57,clear sky
71,Tasiilaq,GL,65.6145,-37.6368,26.76,59,100,10.0,overcast clouds
72,Progreso,MX,21.2833,-89.6667,73.51,71,77,17.36,broken clouds
73,Elbrus,RU,43.2577,42.6443,-0.15,97,93,5.88,overcast clouds
74,Hobart,AU,-42.8794,147.3294,59.02,76,100,4.61,overcast clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,85.96,88,54,4.0,broken clouds
76,Cape Town,ZA,-33.9258,18.4232,86.11,61,0,4.0,clear sky
77,Bathsheba,BB,13.2167,-59.5167,83.01,54,20,16.11,few clouds
78,Churapcha,RU,62.0025,132.4325,-32.82,100,100,0.78,overcast clouds
79,Codrington,AU,-38.2667,141.9667,57.27,86,97,8.34,overcast clouds
80,Jhanjharpur,IN,26.2667,86.2833,55.24,86,58,3.15,broken clouds
81,Viru,PE,-8.4167,-78.75,67.3,52,29,11.77,scattered clouds
82,Coos Bay,US,43.3665,-124.2179,48.18,97,40,9.22,scattered clouds
83,Clyde River,CA,70.4692,-68.5914,-19.97,69,75,11.5,broken clouds
84,Salalah,OM,17.0151,54.0924,71.71,79,1,3.0,clear sky
85,Miandrivazo,MG,-19.5167,45.4667,75.38,91,100,10.45,light rain
86,Kavieng,PG,-2.5744,150.7967,80.92,78,78,4.97,light rain
87,Muros,ES,42.7762,-9.0603,56.08,63,9,14.74,clear sky
88,Kharan,PK,28.5833,65.4167,63.14,13,0,8.63,clear sky
89,Saint-Augustin,CA,51.226,-58.6502,5.36,93,100,16.46,light snow
90,New Norfolk,AU,-42.7826,147.0587,58.66,62,100,0.83,overcast clouds
91,Carnarvon,AU,-24.8667,113.6333,80.67,83,24,5.75,few clouds
92,High Level,CA,58.5169,-117.136,-9.29,84,20,3.44,few clouds
93,Portalegre,PT,39.2938,-7.4312,58.37,72,11,4.23,few clouds
94,Coquimbo,CL,-29.9533,-71.3436,69.53,73,0,14.97,clear sky
95,Tinguindin,MX,19.75,-102.4833,65.14,24,22,6.29,few clouds
96,Tazovskiy,RU,67.4667,78.7,-6.54,100,97,7.31,overcast clouds
97,Nemuro,JP,43.3236,145.575,22.95,73,93,20.47,overcast clouds
98,Muli,MV,2.9167,73.5667,81.97,70,20,10.25,few clouds
99,Yining,CN,29.0361,114.5636,38.68,87,79,3.47,broken clouds
100,Labytnangi,RU,66.6572,66.4183,-16.35,98,29,1.21,scattered clouds
101,Kamiiso,JP,41.8167,140.65,21.69,85,54,8.25,broken clouds
102,Pemberton,CA,50.3164,-122.8027,38.89,94,100,1.48,overcast clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,0,21.85,thunderstorm
104,Storforshei,NO,66.4043,14.5233,35.65,96,99,16.06,overcast clouds
105,Altay,CN,47.8667,88.1167,7.05,51,0,9.64,clear sky
106,Pacific Grove,US,36.6177,-121.9166,58.8,60,0,1.01,clear sky
107,Matamoros,MX,25.5333,-103.25,45.1,51,0,0.0,clear sky
108,Ostrovnoy,RU,68.0531,39.5131,16.18,83,100,32.01,overcast clouds
109,Bud,US,39.447,-86.1758,20.75,72,20,2.08,few clouds
110,Barsovo,RU,61.1667,73.1667,14.13,96,100,8.1,light snow
111,Bethanien,NA,-26.502,17.1583,90.91,20,57,11.74,broken clouds
112,Victoria,HK,22.2855,114.1577,61.25,83,99,1.01,overcast clouds
113,Sterling,US,39.0062,-77.4286,33.66,50,40,4.0,scattered clouds
114,Biak,ID,-0.9131,122.8766,75.9,85,100,2.21,overcast clouds
115,Snasa,NO,64.2457,12.3778,24.48,97,97,5.06,light snow
116,Sarakhs,IR,36.5449,61.1577,55.54,47,100,18.41,sand
117,Rajshahi,BD,24.3667,88.6,57.49,77,3,5.79,clear sky
118,Krasnaya Gorbatka,RU,55.8703,41.7641,5.27,100,92,3.51,overcast clouds
119,Beisfjord,NO,68.3751,17.5988,35.65,78,100,13.53,light rain
120,Georgetown,MY,5.4112,100.3354,80.89,84,20,0.0,few clouds
121,Tateyama,JP,34.9833,139.8667,33.82,52,85,10.85,overcast clouds
122,Ocumare Del Tuy,VE,10.1165,-66.7761,87.6,32,3,3.51,clear sky
123,Strezhevoy,RU,60.7333,77.5889,15.78,96,100,4.03,light snow
124,San Patricio,US,28.017,-97.5169,46.49,38,2,6.62,clear sky
125,Yuncheng,CN,35.0231,110.9928,29.26,58,98,4.72,overcast clouds
